Name,link
臺北市私立育達高級中等學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E8%82%B2%E9%81%94%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1
臺北市私立協和祐德高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%8D%94%E5%92%8C%E7%A5%90%E5%BE%B7%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
國立臺灣師範大學附屬高級中學,/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立大安高級工業職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AE%89%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市立和平高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%92%8C%E5%B9%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市芳和實驗中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E8%8A%B3%E5%92%8C%E5%AF%A6%E9%A9%97%E4%B8%AD%E5%AD%B8
臺北市立景美女子高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E6%99%AF%E7%BE%8E%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
國立政治大學附屬高級中學,/wiki/%E5%9C%8B%E7%AB%8B%E6%94%BF%E6%B2%BB%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立木柵高級工業職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E6%9C%A8%E6%9F%B5%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市立萬芳高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E8%90%AC%E8%8A%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立延平高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%BB%B6%E5%B9%B3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立東山高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%9D%B1%E5%B1%B1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立金甌女子高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E9%87%91%E7%94%8C%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立復興實驗高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%BE%A9%E8%88%88%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立再興高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%86%8D%E8%88%88%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立靜心高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E9%9D%9C%E5%BF%83%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立大誠高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%A4%A7%E8%AA%A0%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立景文高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%99%AF%E6%96%87%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
